10,8,6,15,11,13,17
5,7,8,13,19,14,14
8,8,7,9,16,13,19
16,8,7,10,12,11,16
14,8,6,13,16,6,17
16,8,8,11,11,15,11
13,8,5,15,13,14,12
15,6,8,14,12,12,13
17,8,7,9,15,13,11
9,8,8,12,9,18,16
15,7,8,11,12,12,15
12,8,8,14,10,16,12
7,8,8,10,15,19,13
11,6,8,9,19,11,16
10,8,6,10,15,17,14
11,8,8,10,14,15,14
13,7,8,17,10,14,11
13,7,8,17,11,13,11
14,6,8,12,11,19,10
19,8,7,11,13,9,13
12,7,8,13,16,6,18
12,8,7,14,10,17,12
14,6,6,14,15,13,12
18,6,8,12,8,13,15
15,8,3,13,15,18,8
11,7,8,20,12,13,9
12,7,8,19,14,10,10
15,8,6,16,9,17,9
15,8,8,12,12,12,13
16,8,3,13,14,14,12
