480,300,280,580,500,470,390
410,300,300,490,500,490,510
540,300,300,330,580,440,510
490,290,290,540,390,570,430
530,290,300,490,410,520,460
510,280,290,440,480,530,470
600,250,280,540,370,460,500
520,300,300,490,510,440,440
430,300,280,500,570,480,440
420,300,300,420,450,520,590
510,290,300,430,550,430,490
520,300,280,550,450,400,500
410,300,260,430,590,490,520
580,290,260,470,430,580,390
490,270,290,480,450,520,500
500,300,290,540,380,480,510
480,280,290,500,470,510,470
570,260,280,430,480,580,400
590,290,290,550,420,510,350
510,230,300,570,490,540,360
510,300,290,480,480,420,520
470,300,290,510,470,480,480
460,280,280,440,530,460,550
450,300,280,510,450,510,500
510,290,260,500,480,500,460
600,290,290,590,470,410,350
380,290,300,470,500,560,500
400,260,300,460,540,520,520
510,290,300,520,460,520,400
430,290,300,450,520,470,540
