27,32,12,37,30,34,28
29,27,31,24,35,20,34
31,27,29,23,26,33,31
34,34,20,20,27,31,34
37,27,29,25,29,30,23
19,36,33,22,29,34,27
19,33,26,26,31,31,34
31,27,21,32,34,27,28
24,37,26,31,30,30,22
30,32,26,25,35,25,27
38,29,28,21,35,24,25
29,27,25,36,28,17,38
30,26,29,34,25,33,23
30,18,39,42,20,22,29
36,30,20,32,30,31,21
31,23,20,31,29,34,32
38,28,18,33,25,32,26
27,34,31,28,22,23,35
23,21,31,31,33,34,27
29,38,31,22,27,28,25
33,23,19,29,31,34,31
21,28,31,33,22,31,34
24,31,29,36,24,22,34
32,32,33,32,15,25,31
30,36,35,25,30,23,21
27,29,30,29,35,30,20
27,38,23,23,25,29,35
37,32,17,24,28,28,34
26,37,28,33,30,27,19
28,29,33,25,28,29,28
18,19,42,28,32,36,25
30,26,30,32,32,27,23
31,34,25,29,26,26,29
27,28,27,31,28,37,22
31,24,28,27,34,32,24
35,29,24,25,34,27,26
33,29,30,27,30,26,25
28,27,22,23,33,37,30
30,26,36,33,22,22,31
24,29,32,25,27,29,34
28,24,31,30,31,24,32
32,24,29,32,19,32,32
34,28,33,34,27,25,19
22,32,32,30,32,19,33
32,31,24,25,31,27,30
33,27,32,38,21,21,28
35,28,37,26,35,20,19
29,23,28,21,30,32,37
34,30,29,23,27,29,28
41,23,24,25,32,27,28
21,30,26,37,20,34,32
29,29,37,30,18,31,26
28,37,23,25,23,27,37
30,32,30,30,24,31,23
28,33,29,23,23,32,32
28,23,21,37,26,30,35
18,28,38,33,34,21,28
24,25,23,35,30,30,33
25,29,27,36,26,28,29
29,36,19,32,33,19,32
29,26,34,28,30,26,27
30,26,18,25,33,41,27
36,24,22,26,35,30,27
27,33,24,31,25,31,29
27,21,30,29,39,20,34
22,22,26,23,37,33,37
28,32,28,27,24,25,36
26,40,23,26,29,31,25
28,23,27,36,20,29,37
31,27,35,28,16,23,40
31,29,25,29,31,26,29
34,24,32,25,32,26,27
33,26,24,33,26,31,27
32,24,25,26,31,31,31
31,32,21,26,26,39,25
29,26,34,27,34,27,23
28,23,40,23,25,28,33
24,31,32,25,30,32,26
30,29,26,32,35,23,25
32,21,34,24,28,35,26
35,26,28,28,23,27,33
22,30,26,36,32,22,32
40,22,28,20,34,25,31
29,32,23,30,25,27,34
19,36,36,32,28,25,24
31,32,26,31,29,27,24
27,31,16,35,32,34,25
29,26,24,31,28,27,35
33,27,26,31,24,29,30
26,30,34,27,31,26,26
30,23,28,36,29,30,24
29,28,33,21,30,36,23
29,24,34,25,32,28,28
37,29,31,16,39,19,29
26,37,17,34,33,26,27
25,33,28,23,37,27,27
34,27,30,26,28,24,31
38,24,22,24,26,34,32
24,28,26,29,30,32,31
25,33,26,29,29,33,25
